camp,lat,long,country
Amersfoort,52.13046,5.362587,NL
Arbeitsdorf,52.4315773,10.7628679,DE
AuschwitzBirkenau,50.0274467,19.2011888,PL
Belzec,50.38305,23.43183,PL
BergenBelsen,52.75751,9.912224,DE
Bolzano,46.486055,11.3192,IT
Bredtvet,59.94894,10.85993,NO
Breendonk,51.05785,4.341927,BE
Buchenwald,50.99361,11.32034,DE
Chelmo,52.11371,18.74966,PL
Dachau,48.26678,11.46847,DE
Drancy,48.91882,2.453521,FR
Falstad,63.6936189,11.0352306,NO
Flossenburg,49.73641,12.35503,DE
FortdeRomainville,48.88605,2.423506,FR
FortVIIPosnan,52.41729,16.87182,PL
Fossoli,44.8279461,10.9014255,IT
Grini,59.9544449,10.5827294,NO
GrossRosen,51.00567,16.32262,PL
Herzogenbusch,51.66547,5.259133,NL
Hinzert,49.69933,6.893717,DE
Jagala,59.4505997,25.190599,EE
Jasenovac,45.2803791,16.9283684,HR
Kaiserwald,57.0121921,24.1538088,LV
Kaunas,54.906157,23.882206,LT
LeVernet,43.1846088,1.6010267,FR
Mauthausen,48.25866,14.49973,AT
Mechelen,51.03394,4.478851,BE
Neuengamme,53.42704,10.22646,DE
Plasnow,50.04737,19.96213,PL
Ravensbruck,53.19218,13.15966,DE
RisieradiSanSabbaTrieste,45.62113,13.78982,IT
Sachsenhausen,52.76347,13.26018,DE
Skrochovice,50.05853,17.465492,CZ
Sobibor,51.4492934,23.5924691,PL
Soldau,53.2356843,20.1799965,PL
Stutthof,54.32822,19.15398,PL
Theresienstadt,50.51382,14.16475,CZ
Treblinka,52.6311606,22.0523392,PL
Warshau,52.25121,21.00721,PL
DoraMittlebau,51.5355242,10.7487004,DE
Majdanek,51.22533,22.60618,PL
NatzweilerStruthof,48.43802,7.253019,FR
Westerbork,52.92107,6.569745,NL
Brens,43.889915,1.910185,FR
Ommen,52.504167,6.442222,NL